packet_count,avg_packet_size,protocol,rtt_ms,bytes_per_flow
17,598.5173732941315,TCP,10.861176655793148,9628.727686999559
23,527.1818375875862,ICMP,15.123260504426499,11566.458886820217
27,436.9080324065616,TCP,34.05413212838602,11829.727672890447
16,698.8559800247406,TCP,15.865495317588252,11191.80121158762
20,655.7680321060017,UDP,71.48118156401279,11585.202567726285
22,636.4934071113897,ICMP,44.495836518312075,13160.576591747802
24,771.0443567776591,UDP,48.845302601683656,19246.73068541892
22,761.1322909796288,TCP,2.4376218991821745,16754.033643195435
24,670.8727718795676,TCP,5.8149099600993495,15767.456832974987
16,605.7614367229395,TCP,42.03116289045531,10154.614100670193
17,370.0968393227422,UDP,21.823727350708854,6093.770525924536
19,633.6815048685263,UDP,2.131306555132226,11928.507847381632
21,392.9193522727044,TCP,51.166225196839534,8724.198040629426
17,527.9130725024748,TCP,39.60429920242833,9249.752090421835
27,491.8610096070909,TCP,71.50893736825375,13440.616936429511
20,370.2203847784105,UDP,47.64220946992272,7083.678039579805
18,607.636617917426,UDP,59.21534177155924,10108.549321771814
19,519.185786002767,ICMP,79.54562986202012,9816.734508397798
16,573.5705513721193,TCP,6.715039307097975,8906.889450543256
16,549.9539323126535,TCP,6.634984005462812,9150.009290033473
19,450.54747217561595,TCP,8.030168627753138,7938.619334209879
14,403.27905865132516,TCP,28.06092691734941,5505.682944141179
26,480.85297898770835,UDP,4.031940147439494,12040.121902982273
21,547.836279185195,TCP,31.073612611190462,11951.765335551934
19,697.6161077951897,TCP,33.38102287203838,13626.34170766905
27,542.7611199722894,TCP,32.40488688492282,15827.31862418791
21,583.4976573060096,UDP,3.5509036854345384,12464.430260372403
21,588.6773971113884,TCP,76.16742434110964,11812.042244410093
22,634.1868744908465,UDP,26.396816872076364,13968.143307581426
24,435.2365416084567,TCP,44.660079951292445,11437.63491680428
19,750.4468143650822,TCP,164.03390286837012,13900.526616528967
19,568.063114863904,TCP,35.1956405370845,11037.780496920885
